Date & Time,companyName,previousOpen,dayLow,dayHigh,currentValue
04/Jun/2021 | 05:59:32,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2189.30
04/Jun/2021 | 05:59:42,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2189.30
04/Jun/2021 | 05:59:52,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2189.05
04/Jun/2021 | 06:00:02,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2189.05
04/Jun/2021 | 06:00:13,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2189.05
04/Jun/2021 | 06:00:23,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2189.05
04/Jun/2021 | 06:00:33,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2189.05
04/Jun/2021 | 06:00:43,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2189.05
04/Jun/2021 | 06:00:53,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2189.90
04/Jun/2021 | 06:01:03,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2189.05
04/Jun/2021 | 06:01:13,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2189.90
04/Jun/2021 | 06:01:24,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2189.90
04/Jun/2021 | 06:01:34,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2189.90
04/Jun/2021 | 06:01:44,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2189.90
04/Jun/2021 | 06:01:54,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2189.90
04/Jun/2021 | 06:02:04,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2190.90
04/Jun/2021 | 06:02:14,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2190.90
04/Jun/2021 | 06:02:24,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2190.90
04/Jun/2021 | 06:02:34,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2190.90
04/Jun/2021 | 06:02:44,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2190.90
04/Jun/2021 | 06:02:54,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2189.60
04/Jun/2021 | 06:03:04,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2190.90
04/Jun/2021 | 06:03:15,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2189.60
04/Jun/2021 | 06:03:25,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2189.60
04/Jun/2021 | 06:03:35,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2189.60
04/Jun/2021 | 06:03:45,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2189.60
04/Jun/2021 | 06:03:55,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2189.60
04/Jun/2021 | 06:04:05,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2190.30
04/Jun/2021 | 06:04:15,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2190.30
04/Jun/2021 | 06:04:25,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2190.30
04/Jun/2021 | 06:04:35,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2190.30
04/Jun/2021 | 06:04:45,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2190.30
04/Jun/2021 | 06:04:56,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2190.30
04/Jun/2021 | 06:05:06,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2190.60
04/Jun/2021 | 06:05:16,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2190.60
04/Jun/2021 | 06:05:26,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2190.60
04/Jun/2021 | 06:05:36,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2190.60
04/Jun/2021 | 06:05:46,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2190.60
04/Jun/2021 | 06:05:56,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2192.30
04/Jun/2021 | 06:06:06,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2190.60
04/Jun/2021 | 06:06:16,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2192.30
04/Jun/2021 | 06:06:26,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2192.30
04/Jun/2021 | 06:06:36,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2192.30
04/Jun/2021 | 06:06:47,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2192.30
04/Jun/2021 | 06:06:57,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2192.30
04/Jun/2021 | 06:07:07,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2193.90
04/Jun/2021 | 06:07:17,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2193.90
04/Jun/2021 | 06:07:27,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2193.90
04/Jun/2021 | 06:07:37,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2193.90
04/Jun/2021 | 06:07:47,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2193.90
04/Jun/2021 | 06:07:57,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2192.20
04/Jun/2021 | 06:08:07,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2192.20
04/Jun/2021 | 06:08:17,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2192.20
04/Jun/2021 | 06:08:27,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2192.20
04/Jun/2021 | 06:08:37,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2192.20
04/Jun/2021 | 06:08:49,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2192.20
04/Jun/2021 | 06:08:59,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2192.00
04/Jun/2021 | 06:09:09,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2192.00
04/Jun/2021 | 06:09:19,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2192.00
04/Jun/2021 | 06:09:29,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2192.00
04/Jun/2021 | 06:09:39,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2192.00
04/Jun/2021 | 06:09:49,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2192.00
04/Jun/2021 | 06:09:59,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2192.00
04/Jun/2021 | 06:10:10,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2193.00
04/Jun/2021 | 06:10:20,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2193.00
04/Jun/2021 | 06:10:30,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2193.00
04/Jun/2021 | 06:10:40,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2193.00
04/Jun/2021 | 06:10:50,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2193.00
04/Jun/2021 | 06:11:00,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2194.70
04/Jun/2021 | 06:11:10,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2193.00
04/Jun/2021 | 06:11:20,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2194.70
04/Jun/2021 | 06:11:30,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2194.70
04/Jun/2021 | 06:11:40,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2194.70
04/Jun/2021 | 06:11:50,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2194.70
04/Jun/2021 | 06:12:01,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2195.00
04/Jun/2021 | 06:12:11,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2194.70
04/Jun/2021 | 06:12:21,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2195.00
04/Jun/2021 | 06:12:31,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2195.00
04/Jun/2021 | 06:12:41,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2195.00
04/Jun/2021 | 06:12:51,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2195.00
04/Jun/2021 | 06:13:01,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2195.00
04/Jun/2021 | 06:13:11,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2195.00
04/Jun/2021 | 06:13:21,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2195.00
04/Jun/2021 | 06:13:32,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2195.00
04/Jun/2021 | 06:13:42,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2195.00
04/Jun/2021 | 06:13:52,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2195.00
04/Jun/2021 | 06:14:02,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2195.00
04/Jun/2021 | 06:14:12,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2195.00
04/Jun/2021 | 06:14:22,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2195.00
04/Jun/2021 | 06:14:33,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2195.00
04/Jun/2021 | 06:14:43,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2195.00
04/Jun/2021 | 06:14:53,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2195.00
04/Jun/2021 | 06:15:04,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2195.00
04/Jun/2021 | 06:15:14,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2194.65
04/Jun/2021 | 06:15:24,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2194.65
04/Jun/2021 | 06:15:34,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2194.65
04/Jun/2021 | 06:15:44,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2194.65
04/Jun/2021 | 06:15:54,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2194.65
04/Jun/2021 | 06:16:05,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2194.65
04/Jun/2021 | 06:16:15,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2196.25
04/Jun/2021 | 06:16:25,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2196.25
04/Jun/2021 | 06:16:35,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2196.25
04/Jun/2021 | 06:16:45,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2196.25
04/Jun/2021 | 06:16:56,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2196.25
04/Jun/2021 | 06:17:06,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2199.50
04/Jun/2021 | 06:17:16,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2199.50
04/Jun/2021 | 06:17:26,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2199.50
04/Jun/2021 | 06:17:36,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2199.50
04/Jun/2021 | 06:17:46,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2199.50
04/Jun/2021 | 06:17:56,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2199.50
04/Jun/2021 | 06:18:06,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2200.05
04/Jun/2021 | 06:18:16,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2199.50
04/Jun/2021 | 06:18:27,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2200.05
04/Jun/2021 | 06:18:37,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2200.05
04/Jun/2021 | 06:18:47,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2200.05
04/Jun/2021 | 06:18:57,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2200.05
04/Jun/2021 | 06:19:07,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2199.10
04/Jun/2021 | 06:19:17,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2199.10
04/Jun/2021 | 06:19:27,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2199.10
04/Jun/2021 | 06:19:37,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2199.10
04/Jun/2021 | 06:19:48,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2199.10
04/Jun/2021 | 06:19:58,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2199.10
04/Jun/2021 | 06:20:08,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2199.10
04/Jun/2021 | 06:20:18,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2199.10
04/Jun/2021 | 06:20:28,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2199.10
04/Jun/2021 | 06:20:38,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2199.10
04/Jun/2021 | 06:20:48,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2199.10
04/Jun/2021 | 06:20:58,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2199.10
04/Jun/2021 | 06:21:08,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2199.10
04/Jun/2021 | 06:21:18,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2201.30
04/Jun/2021 | 06:21:28,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2201.30
04/Jun/2021 | 06:21:39,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2201.30
04/Jun/2021 | 06:21:49,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2201.30
04/Jun/2021 | 06:21:59,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2201.30
04/Jun/2021 | 06:22:09,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2200.55
04/Jun/2021 | 06:22:19,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2200.55
04/Jun/2021 | 06:22:29,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2200.55
04/Jun/2021 | 06:22:39,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2200.55
04/Jun/2021 | 06:22:50,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2200.55
04/Jun/2021 | 06:23:00,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2200.55
04/Jun/2021 | 06:23:10,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2200.55
04/Jun/2021 | 06:23:20,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2202.90
04/Jun/2021 | 06:23:30,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2202.90
04/Jun/2021 | 06:23:40,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2202.90
04/Jun/2021 | 06:23:50,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2202.90
04/Jun/2021 | 06:24:00,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2202.90
04/Jun/2021 | 06:24:10,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2202.90
04/Jun/2021 | 06:24:21,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2202.90
04/Jun/2021 | 06:24:31,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2202.90
04/Jun/2021 | 06:24:41,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2202.90
04/Jun/2021 | 06:24:51,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2202.90
04/Jun/2021 | 06:25:01,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2203.25
04/Jun/2021 | 06:25:11,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2202.90
04/Jun/2021 | 06:25:21,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2203.25
